ano,mes,id_cisp,id_aisp,id_risp,quantidade_arma_fabricacao_caseira,quantidade_carabina,quantidade_espingarda,quantidade_fuzil,quantidade_garrucha,quantidade_garruchao,quantidade_metralhadora,quantidade_outros,quantidade_pistola,quantidade_revolver,quantidade_submetralhadora,total
2007,10,10,2,1,0,0,3,7,1,0,3,0,12,6,0,32
2021,2,105,26,7,0,0,3,0,7,8,0,0,9,11,0,38
2013,10,105,26,7,0,1,4,0,2,0,0,2,5,7,0,21
2021,5,105,26,7,0,0,0,0,9,0,0,0,4,9,0,22
2021,12,106,26,7,0,4,4,0,0,0,0,0,7,6,0,21
2017,10,11,23,1,0,0,5,6,0,0,0,0,12,0,3,26
2017,9,11,23,1,0,0,0,12,0,0,1,0,11,0,0,24
2017,8,110,30,7,1,2,7,0,0,0,0,0,1,10,0,21
2015,8,110,30,7,0,0,29,0,0,0,0,4,1,4,0,38
2017,11,110,30,7,10,0,3,0,0,0,0,0,2,6,0,21
2019,2,110,30,7,0,0,7,0,3,0,0,0,6,6,0,22
2013,11,110,30,7,0,0,1,0,1,0,0,1,3,39,0,45
2008,10,110,30,7,7,0,6,0,1,0,0,0,1,7,0,22
2013,11,118,25,4,29,0,2,0,0,0,0,0,0,2,0,33
2015,12,12,19,1,0,2,16,1,0,0,0,1,0,11,0,31
2016,3,12,19,1,0,0,1,2,0,0,0,0,24,7,1,35
2015,9,120,35,4,8,0,7,0,0,0,0,0,2,4,0,21
2007,7,123,32,6,1,0,2,0,1,0,0,10,4,6,0,24
2007,3,123,32,6,0,0,3,1,0,0,0,1,2,13,0,20
2011,3,123,32,6,0,1,2,2,0,0,1,0,6,8,1,21
2019,4,123,32,6,0,0,0,2,0,0,0,0,14,8,0,24
2018,10,123,32,6,3,0,4,7,1,0,0,0,6,3,0,24
2022,8,123,32,6,0,0,0,3,0,0,0,0,17,1,0,21
2022,7,123,32,6,0,1,2,0,0,0,0,1,10,7,0,21
2020,3,123,32,6,0,0,0,4,0,0,0,0,15,5,0,24
2008,3,123,32,6,0,0,3,0,1,0,0,3,4,9,0,20
2015,12,126,25,4,0,0,1,0,0,0,0,0,15,10,0,26
2019,8,126,25,4,0,0,3,0,0,0,0,0,13,7,0,23
2011,12,126,25,4,1,0,3,0,0,0,0,0,6,12,0,22
2014,10,126,25,4,1,0,0,5,0,0,0,0,13,7,0,26
2016,4,126,25,4,0,0,1,0,0,0,0,0,11,11,0,23
2008,12,126,25,4,0,0,2,0,1,0,0,0,7,14,0,24
2016,3,126,25,4,0,0,0,0,0,0,0,1,12,8,0,21
2014,5,126,25,4,0,0,2,0,0,0,0,1,4,14,0,21
2011,4,126,25,4,0,1,1,0,0,0,0,2,7,11,0,22
2014,8,126,25,4,0,0,3,0,0,0,0,0,30,16,0,49
2015,1,126,25,4,1,1,1,0,0,0,0,0,16,8,0,27
2013,3,126,25,4,0,0,0,0,1,0,0,0,9,11,1,22
2015,8,126,25,4,0,0,0,0,0,0,0,0,7,13,0,20
2017,11,126,25,4,0,0,3,0,0,0,0,0,9,8,0,20
2008,4,126,25,4,0,0,0,0,1,0,0,1,4,14,0,20
2015,3,126,25,4,0,0,1,0,0,0,0,0,14,10,1,26
2007,9,126,25,4,0,0,2,1,1,0,0,3,1,12,0,20
2013,9,126,25,4,0,0,3,7,1,0,0,0,5,6,0,22
